artist_id,artist_name,external_url
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,https://api.spotify.com/v1/artists/4oUHIQIBe0LHzYfvXNW4QM
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6
718COspgdWOnwOFpJHRZHS,Luke Combs,https://api.spotify.com/v1/artists/718COspgdWOnwOFpJHRZHS
46pWGuE3dSwY3bMMXGBvVS,Rema,https://api.spotify.com/v1/artists/46pWGuE3dSwY3bMMXGBvVS
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx
3hcs9uc56yIGFCSy9leWe7,Lil Durk,https://api.spotify.com/v1/artists/3hcs9uc56yIGFCSy9leWe7
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5
6BH1xcDkwbbyrLMUKECsW1,Toosii,https://api.spotify.com/v1/artists/6BH1xcDkwbbyrLMUKECsW1
7tYKF4w9nC0nq9CsPZTHyP,SZA,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,https://api.spotify.com/v1/artists/0iEtIxbK0KxaSlF7G42ZOp
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ
1URnnhqYAYcrqrcwql10ft,21 Savage,https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft
06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02
3LZZPxNDGDFVSIPqf4JuEf,Ice Spice,https://api.spotify.com/v1/artists/3LZZPxNDGDFVSIPqf4JuEf
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,https://api.spotify.com/v1/artists/0XeEobZplHxzM9QzFQWLiR
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,https://api.spotify.com/v1/artists/12GqGscKJx3aE4t07u7eVZ
360IAlyVv4PCEVjgyMZrxK,Miguel,https://api.spotify.com/v1/artists/360IAlyVv4PCEVjgyMZrxK
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,https://api.spotify.com/v1/artists/40ZNYROS4zLfyyBSs2PGe2
1NNRWkhwmcXRimFYSBpB1y,Yng Lvcas,https://api.spotify.com/v1/artists/1NNRWkhwmcXRimFYSBpB1y
4q3ewBCX7sLwd24euuV69X,Bad Bunny,https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,https://api.spotify.com/v1/artists/6XkjpgcEsYab502Vr1bBeW
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,https://api.spotify.com/v1/artists/19k8AgwwTSxeaxkOuCQEJs
3TVXtAsR1Inumwj472S9r4,Drake,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4
246dkjvS1zLTtiykXe5h60,Post Malone,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,https://api.spotify.com/v1/artists/4GJ6xDCF5jaUqD6avOuQT6
3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,https://api.spotify.com/v1/artists/3win9vGIxFfBRag9S63wwf
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,https://api.spotify.com/v1/artists/78rUTD7y6Cy67W1RVzYs7t
77kULmXAQ6vWer7IIHdGzI,Jordan Davis,https://api.spotify.com/v1/artists/77kULmXAQ6vWer7IIHdGzI
3MdXrJWsbVzdn6fe5JYkSQ,Latto,https://api.spotify.com/v1/artists/3MdXrJWsbVzdn6fe5JYkSQ
4kYSro6naA4h99UJvo89HB,Cardi B,https://api.spotify.com/v1/artists/4kYSro6naA4h99UJvo89HB
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,https://api.spotify.com/v1/artists/64M6ah0SkkRsnPGtGiRAbb
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we
1YRqgFNXqRyMDRr8ClS1NL,Kaliii,https://api.spotify.com/v1/artists/1YRqgFNXqRyMDRr8ClS1NL
3BEV5FcxOtkQJ7lLRKMh3V,Tyler Hubbard,https://api.spotify.com/v1/artists/3BEV5FcxOtkQJ7lLRKMh3V
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,https://api.spotify.com/v1/artists/6y8XlgIV8BLlIg1tT1R10i
716NhGYqD1jl2wI1Qkgq36,Bizarrap,https://api.spotify.com/v1/artists/716NhGYqD1jl2wI1Qkgq36
5Ppie0uPnbnvGBYRwYmlt0,Megan Moroney,https://api.spotify.com/v1/artists/5Ppie0uPnbnvGBYRwYmlt0
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,https://api.spotify.com/v1/artists/0ys2OFYzWYB5hRDLCsBqxt
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,https://api.spotify.com/v1/artists/2RQXRUsr4IW1f3mKyKsy4B
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z
6AMd49uBDJfhf30Ak2QR5s,Coi Leray,https://api.spotify.com/v1/artists/6AMd49uBDJfhf30Ak2QR5s
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,https://api.spotify.com/v1/artists/1zNqQNIdeOUZHb8zbZRFMX
7rkW85dBwwrJtlHRDkJDAC,NAV,https://api.spotify.com/v1/artists/7rkW85dBwwrJtlHRDkJDAC
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,https://api.spotify.com/v1/artists/31W5EY0aAly4Qieq6OFu6I
55Aa2cqylxrFIXC767Z865,Lil Wayne,https://api.spotify.com/v1/artists/55Aa2cqylxrFIXC767Z865
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,https://api.spotify.com/v1/artists/4DdkRBBYG6Yk9Ka8tdJ9BW
3Nrfpe0tUJi4K4DXYWgMUX,BTS,https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX
3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,https://api.spotify.com/v1/artists/3oSJ7TBVCWMDMiYjXNiCKE
2GB8NPGTvSHk3KwmxtVvaB,Katelyn Brown,https://api.spotify.com/v1/artists/2GB8NPGTvSHk3KwmxtVvaB
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca
5pCGvSxNNUcddlRrG0wsrY,Roisee,https://api.spotify.com/v1/artists/5pCGvSxNNUcddlRrG0wsrY
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,https://api.spotify.com/v1/artists/0hCNtLu0JehylgoiP8L4Gh
6ZV6lGY0prbqpTD0Md8i29,Scotty McCreery,https://api.spotify.com/v1/artists/6ZV6lGY0prbqpTD0Md8i29
33NVpKoXjItPwUJTMZIOiY,David Kushner,https://api.spotify.com/v1/artists/33NVpKoXjItPwUJTMZIOiY
0elWFr7TW8piilVRYJUe4P,Natanael Cano,https://api.spotify.com/v1/artists/0elWFr7TW8piilVRYJUe4P
4E2rKHVDssGJm2SCDOMMJB,Doechii,https://api.spotify.com/v1/artists/4E2rKHVDssGJm2SCDOMMJB
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,https://api.spotify.com/v1/artists/46SHBwWsqBkxI7EeeBEQG7
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,https://api.spotify.com/v1/artists/1U1el3k54VvEUzo3ybLPlM
790FomKkXshlbRYZFtlgla,KAROL G,https://api.spotify.com/v1/artists/790FomKkXshlbRYZFtlgla
0EmeFodog0BfCgMzAIvKQp,Shakira,https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp
7Gi6gjaWy3DxyilpF1a8Is,Junior H,https://api.spotify.com/v1/artists/7Gi6gjaWy3DxyilpF1a8Is
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD
30e8DmahrEamvLbFRPdWmk,Justin Moore,https://api.spotify.com/v1/artists/30e8DmahrEamvLbFRPdWmk
6BpvASijzSWj7gnZD4Dvf1,Priscilla Block,https://api.spotify.com/v1/artists/6BpvASijzSWj7gnZD4Dvf1
4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,https://api.spotify.com/v1/artists/4MoAOfV4ROWofLG3a3hhBN
2oQX8QiMXOyuqbcZEFsZfm,El Alfa,https://api.spotify.com/v1/artists/2oQX8QiMXOyuqbcZEFsZfm
4GGfAshSkqoxpZdoaHm7ky,ERNEST,https://api.spotify.com/v1/artists/4GGfAshSkqoxpZdoaHm7ky
4DHLoiIqFYYFjH09WduvFd,Coco Jones,https://api.spotify.com/v1/artists/4DHLoiIqFYYFjH09WduvFd
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,https://api.spotify.com/v1/artists/1zNqDE7qDGCsyzJwohVaoX
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,https://api.spotify.com/v1/artists/699OTQXzgjhIYAHMy9RyPD
6tbjWDEIzxoDsBA1FuhfPW,Madonna,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,https://api.spotify.com/v1/artists/0ErzCpIMyLcjPiwT4elrtZ
5yPzzu25VzEk8qrGTLIrE1,Young Nudy,https://api.spotify.com/v1/artists/5yPzzu25VzEk8qrGTLIrE1
6vWDO969PvNqNYHIOW5v0m,Beyoncé,https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg
45TgXXqMDdF8BkjA83OM7z,Rod Wave,https://api.spotify.com/v1/artists/45TgXXqMDdF8BkjA83OM7z
4r63FhuTkUYltbVAg5TQnk,DaBaby,https://api.spotify.com/v1/artists/4r63FhuTkUYltbVAg5TQnk
4obzFoKoKRHIphyHzJ35G3,Becky G,https://api.spotify.com/v1/artists/4obzFoKoKRHIphyHzJ35G3
7kjSuFGKhLm8b5qXoMhRkJ,Libianca,https://api.spotify.com/v1/artists/7kjSuFGKhLm8b5qXoMhRkJ
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,https://api.spotify.com/v1/artists/2hlmm7s2ICUX0LVIhVFlZQ
1KCSPY1glIKqW2TotWuXOR,P!nk,https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR
51ZSh80McCt7vbqHouzW0A,Yahritza Y Su Esencia,https://api.spotify.com/v1/artists/51ZSh80McCt7vbqHouzW0A
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,https://api.spotify.com/v1/artists/3DbwFQlvLxRSi2uX8mf81A
5xkFVS6IwwgHEAaRzXc9U3,Tay Keith,https://api.spotify.com/v1/artists/5xkFVS6IwwgHEAaRzXc9U3
5f7VJjfbwm532GiveGC0ZK,Lil Baby,https://api.spotify.com/v1/artists/5f7VJjfbwm532GiveGC0ZK
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,https://api.spotify.com/v1/artists/3tJoFztHeIJkJWMrx0td2f
5QNm7E7RU2m64l6Gliu8Oy,HARDY,https://api.spotify.com/v1/artists/5QNm7E7RU2m64l6Gliu8Oy
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY
50co4Is1HCEo8bhOyUWKpn,Young Thug,https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn
1RyvyyTE3xzB2ZywiAwp0i,Future,https://api.spotify.com/v1/artists/1RyvyyTE3xzB2ZywiAwp0i
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,https://api.spotify.com/v1/artists/4O15NlyKLIASxsJ0PrXPfz
5SXuuuRpukkTvsLuUknva1,Baby Keem,https://api.spotify.com/v1/artists/5SXuuuRpukkTvsLuUknva1
2rmkQLzj0k4nZdQehOUByO,Chino Pacas,https://api.spotify.com/v1/artists/2rmkQLzj0k4nZdQehOUByO
4Gso3d4CscCijv0lmajZWs,Don Toliver,https://api.spotify.com/v1/artists/4Gso3d4CscCijv0lmajZWs
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,https://api.spotify.com/v1/artists/0eHQ9o50hj6ZDNBt6Ys1sD
2LRoIwlKmHjgvigdNGBHNo,Feid,https://api.spotify.com/v1/artists/2LRoIwlKmHjgvigdNGBHNo
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,https://api.spotify.com/v1/artists/7ltDVBr6mKbRvohxheJ9h1
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,https://api.spotify.com/v1/artists/1mcTU81TzQhprhouKaTkpq
53KwLdlmrlCelAZMaLVZqU,James Blake,https://api.spotify.com/v1/artists/53KwLdlmrlCelAZMaLVZqU
